entity_type,id,stable_key,section_id,ordinal,source_value,target_value,format,status
index_entry,urn:uuid:86b28f46-df5d-55c0-aa9f-2f5c8728c86a,index-entry/unit-044/main/013,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,13,denghuazi,ekualiser,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:ac6aeffc-9501-54dc-a370-5e401cf2ce12,index-entry/unit-044/main/014,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,14,yudenghuazi,koekualiser,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:05081c2e-a75a-5521-a539-c0f81f285165,index-entry/unit-044/main/015,urn:uuid:281fe917-5f43-5ff5-bea9-19d3c06a3307,15,mo!自由模 (free module),modul!bebas (free module),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:d77cca43-daf9-5f5c-aff9-b5a287972f65,index-entry/unit-044/main/016,urn:uuid:281fe917-5f43-5ff5-bea9-19d3c06a3307,16,youxianshengcheng,dibangkitkan secara berhingga,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:66daf40d-b0fc-56a2-94a3-459483618d6d,index-entry/unit-044/main/018,urn:uuid:281fe917-5f43-5ff5-bea9-19d3c06a3307,18,zhi@秩 (rank),rank@rank (rank),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:1f1b815c-0535-58e9-ae3b-acd0ba3d3e00,index-entry/unit-044/main/019,urn:uuid:b0608ef2-939e-58ff-8e39-871617aeb054,19,xiangliangkongjian@向量空间 (vector space),ruang vektor@ruang vektor (vector space),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:e85b5f77-25af-503e-b8d5-8c61260f2e92,index-entry/unit-044/main/020,urn:uuid:b0608ef2-939e-58ff-8e39-871617aeb054,20,ji@基 (basis),basis@basis (basis),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:8776f37c-e6ec-5bec-9b72-3066b9b4986a,index-entry/unit-044/main/021,urn:uuid:b0608ef2-939e-58ff-8e39-871617aeb054,21,nizhen@拟阵 (matroid),matroid@matroid (matroid),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:9aab7ba9-26e1-57bd-904c-60c40ecc10cd,index-entry/unit-044/main/023,urn:uuid:b0608ef2-939e-58ff-8e39-871617aeb054,23,xiangliangkongjian!维度 (dimension),ruang vektor!dimensi (dimension),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:c82d074c-9b20-5966-8e4f-2ed4d158a720,index-entry/unit-044/main/024,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,24,shuangmo@双模 (bimodule),bimodul@bimodul (bimodule),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:7e54ee28-c830-5ec3-91ad-3014c7849583,index-entry/unit-044/main/026,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,26,pinghengji@平衡积 (balanced product),hasil kali seimbang@hasil kali seimbang (balanced product),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:dd5a6c85-0b69-50ba-84ae-bcea79aeb06c,index-entry/unit-044/main/027,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,27,zhangliangji@张量积 (tensor product),hasil kali tensor@hasil kali tensor (tensor product),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:2b82a138-1502-5b4d-9b44-2bbeeb8e354d,index-entry/unit-044/main/029,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,29,jieheyueshu,kendala asosiativitas,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:94592dfb-63c8-5fab-8be6-ea9db6183096,index-entry/unit-044/main/030,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,30,jiaohuanyueshu,kendala komutativitas,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:2b32e54c-a8b0-5e44-b4ed-55410219f5ad,index-entry/unit-044/main/031,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,31,neiHom@内 $\Hom$ (internal Hom),Hom internal@$\Hom$ internal (internal Hom),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:92163863-4ed3-5147-9c2b-5d4e2ca471a6,index-entry/unit-044/main/032,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,32,zhangliangji!伴随性,hasil kali tensor!keadjoinan,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:6ab55242-fb94-5fc5-b4ee-cbf6b15fb94a,index-entry/unit-044/main/033,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,33,lahui,tarik balik,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:62a8e199-cd6a-5eba-aa38-09872781a88c,index-entry/unit-044/main/034,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,34,wangquehanzi,fungtor pelupa,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:5aa9340e-7fe4-50be-ac66-045cd78c11b7,index-entry/unit-044/main/037,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,37,jibianhuan@基变换 (base change),perubahan basis@perubahan basis (base change),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:9c2eb303-e0d7-57b1-be2c-875de894a435,index-entry/unit-044/main/041,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,41,$p$-准素部分 ($p$-primary part),bagian $p$-primer ($p$-primary part),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:4d838a75-14b1-55eb-ba62-ac46d187768c,index-entry/unit-044/main/042,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,42,chudengyinzidingli@初等因子定理 (Theorem of elementary divisors),teorema pembagi elementer (Theorem of elementary divisors),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:a0f0e39a-97d8-5c90-949d-db18f7ab7a70,index-entry/unit-044/main/043,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,43,Young-tu,diagram Young,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:77b9ace4-3307-57f4-9984-e8ae157beba2,index-entry/unit-044/main/044,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,44,qun!指数 (exponent),grup!eksponen (exponent),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:da93273f-e67c-5d68-adcf-6cf7d45d11fc,index-entry/unit-044/main/045,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,45,fuxing@复形 (complex),kompleks@kompleks (complex),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:e7d05de5-864c-5f75-a656-f8c822058001,index-entry/unit-044/main/046,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,46,zhenghelie,barisan eksak,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:0c8bf009-3fc3-52c2-b864-922014aa1eb5,index-entry/unit-044/main/047,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,47,tongdiao@同调 (homology),homologi@homologi (homology),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:eb011196-04db-5b11-bfce-5cc8e18f027b,index-entry/unit-044/main/049,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,49,shangtongdiao@上同调 (cohomology),kohomologi@kohomologi (cohomology),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:e6fa14ae-dc11-55ae-8618-a3ce15c7e0d4,index-entry/unit-044/main/050,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,50,zhenghelie!短,barisan eksak!pendek,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:4509eb91-6153-5296-a67f-24a6aa76248e,index-entry/unit-044/main/051,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,51,sheyinli@蛇形引理 (Snake Lemma),Lemma Ular (Snake Lemma),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:d842d7a0-d023-5f3a-8f53-e564926f95a0,index-entry/unit-044/main/052,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,52,hanzi!正合 (exact),fungtor!eksak (exact),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:245eab10-4dc0-561b-bae1-97674bb73f0f,index-entry/unit-044/main/053,urn:uuid:73d0560c-be33-541e-83e2-51d66cdb6b6b,53,mo!投射/内射 (projective/injective),mo!projektif/injektif (projective/injective),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:ba226d97-8d4d-57d1-9225-6955e0b5815a,index-entry/unit-044/main/054,urn:uuid:73d0560c-be33-541e-83e2-51d66cdb6b6b,54,mo!平坦 (flat),mo!datar (flat),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:64a7f14e-c660-5299-8dfc-e3f2f2a6d959,index-entry/unit-044/main/055,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,55,mo!Artin/Noether,mo!Artinian/Noetherian,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:ba117a89-7bf1-589b-b943-02e05527d26f,index-entry/unit-044/main/056,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,56,huan!Artin/Noether,huan!Artinian/Noetherian,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:4e327297-bfcd-5547-8958-484b5a90f68b,index-entry/unit-044/main/057,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,57,Hilbert 基定理 (Hilbert's Basis Theorem),Teorema Basis Hilbert (Hilbert's Basis Theorem),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:ec3a74fc-8e7b-5f6d-ba66-cfc3a0697b1f,index-entry/unit-044/main/058,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,58,hechenglie,deretkomposisi,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:395b91a8-242a-51f8-a8ef-016ad2e012d2,index-entry/unit-044/main/059,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,59,mo!有限长度 (finite length),mo!panjang hingga (finite length),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:28c9400b-2e3b-52d4-bda2-73addb77bc0a,index-entry/unit-044/main/060,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,60,hechengyinzi,faktorkomposisi,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:f8b10787-90f7-5329-a455-951317e3acb7,index-entry/unit-044/main/062,urn:uuid:37657c6d-ed6c-5384-9309-f64aadeaa4ab,62,Schur 引理,Lemma Schur,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:934230a8-5a56-520b-8afd-c8e27e58c701,index-entry/unit-044/main/063,urn:uuid:37657c6d-ed6c-5384-9309-f64aadeaa4ab,63,mo!半单 (semisimple),mo!semisederhana (semisimple),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:5367f1df-4915-544e-98a4-8e4d6c5921b7,index-entry/unit-044/main/064,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,64,duixiang!不可分解 (indecomposable),duixiang!tak terurai (indecomposable),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:eabc742f-7cb8-5d31-8bd3-7808462b6a1e,index-entry/unit-044/main/065,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,65,mo!不可分解 (indecomposable),mo!tak terurai (indecomposable),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:4fbba867-8046-5283-b1c9-adbe3470b25a,index-entry/unit-044/main/066,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,66,miling@幂零 (nilpotent),nilpoten (nilpotent),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:5783e0ce-b86a-5bad-be8f-8f6c2ddc3973,index-entry/unit-044/main/067,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,67,mideng@幂等 (idempotent),idempoten (idempotent),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:58664747-2422-522a-933e-199ce19a274a,index-entry/unit-044/main/068,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,68,huan!局部 (local),huan!lokal (local),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:66904d84-b898-5ce7-a2e1-fba729cc73e4,index-entry/unit-044/main/069,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,69,Krull--Remak--Schmidt 定理,Teorema Krull--Remak--Schmidt,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:b7da77d9-2231-581c-a073-eb95e7f7a426,index-entry/unit-044/main/070,urn:uuid:b78205fa-e2e8-5b5c-b4f3-bbe6b495faba,70,fuzhihuan,gelanggang!valuasi (valuation),latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:75a62300-5251-5b52-a146-9951829e2b5e,index-entry/unit-044/sym1/008,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,8,ann@$\text{ann}_M$,ann@$\text{ann}_M$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:f7f2ca4f-9481-5c6b-abdd-6f97f3a6963a,index-entry/unit-044/sym1/010,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,10,$M[\mathfrak{a}]$,$M[\mathfrak{a}]$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:e6c2994b-04e3-5d98-ae42-e41edad706df,index-entry/unit-044/sym1/011,urn:uuid:5f647d9d-de3b-51ff-aad7-2d18fbc4f755,11,R-Mod@$R\dcate{Mod}$,R-Mod@$R\dcate{Mod}$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:88b7dcee-ccd8-5e40-9ac9-c1bdd667dede,index-entry/unit-044/sym1/017,urn:uuid:281fe917-5f43-5ff5-bea9-19d3c06a3307,17,rank@$\rank_R(E)$,rank@$\rank_R(E)$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:cb73d23e-9203-5804-854a-bb3fade2cd20,index-entry/unit-044/sym1/022,urn:uuid:b0608ef2-939e-58ff-8e39-871617aeb054,22,dim@$\dim$,dim@$\dim$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:ca6180ab-6ca0-5f99-b784-a90db7c0cfe3,index-entry/unit-044/sym1/025,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,25,R_M_S@${}_R M_S$,R_M_S@${}_R M_S$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:b66c1eb1-94a6-5cff-807a-44fa997f73bb,index-entry/unit-044/sym1/028,urn:uuid:ce946ba2-3403-5161-b036-4c3b0b411149,28,1otimes,1otimes,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:d0de4d44-c836-58ca-a2a4-3b5c77caac89,index-entry/unit-044/sym1/035,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,35,P_RS@$P_{R \to S}$,P_RS@$P_{R \to S}$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:91ff4640-9cd9-553d-bc32-516a5bd9a639,index-entry/unit-044/sym1/036,urn:uuid:711a1854-d6ab-5aa4-b905-37972ea11211,36,I_RS@$I_{R \to S}$,I_RS@$I_{R \to S}$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:c5b7da7a-d00e-5a59-b2c7-9612fcaa9c9e,index-entry/unit-044/sym1/038,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,38,$M_\text{tf}$,$M_\text{tf}$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:da1f28e5-1bb8-521c-83e9-f15bc325b3da,index-entry/unit-044/sym1/039,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,39,$M_\text{tor}$,$M_\text{tor}$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:f6048821-f472-5136-8f08-903797257789,index-entry/unit-044/sym1/040,urn:uuid:f561359c-6b25-5004-b943-b2a24ccd5ec3,40,$M[p^\infty]$,$M[p^\infty]$,latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:c65adf91-ff1d-5350-ac13-a3c8c39468d9,index-entry/unit-044/sym1/048,urn:uuid:585d9846-b0d9-57eb-96ac-20b5ade4c83f,48,"Hi@$\Hm^i$, $\Hm_i$","Hi@$\Hm^i$, $\Hm_i$",latex-index-key,source_key_preserved_target_key_localized
index_entry,urn:uuid:374139b4-adb2-50d0-bc2a-756f815b9781,index-entry/unit-044/sym1/061,urn:uuid:c6f76ff0-679e-5173-a426-206bf47bcd7d,61,JH(M)@$\text{JH}(M)$,JH(M)@$\text{JH}(M)$,latex-index-key,source_key_preserved_target_key_localized
