owner_id,binding_role,language,path,line_start,line_end,bytes,sha256,span_sha256,span_hash_algorithm
urn:uuid:540ea779-b890-5ed4-8ee4-ad1213233df2,target,id-ID,repo/source/chapter2.tex,663,666,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,e2c6b9d2238a181267385224ecbaa6f7289eab177cee8f733022fec8927e0bbc,sha256-utf8-lines-lf-v1
urn:uuid:5d664cd9-a562-5b00-ba0a-05674152ee9f,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,608,611,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,adffbbc401285e6a2e9bf5eb98c699484665ea2c5b3908420c80b8b350bca0be,sha256-utf8-lines-lf-v1
urn:uuid:5d664cd9-a562-5b00-ba0a-05674152ee9f,target,id-ID,repo/source/chapter2.tex,608,611,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,adffbbc401285e6a2e9bf5eb98c699484665ea2c5b3908420c80b8b350bca0be,sha256-utf8-lines-lf-v1
urn:uuid:682a8272-764a-590e-8d22-414896b6d84b,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,603,603,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,9ae2cec37b710ff01d13803a7b49f612da3078bc1f23db10ed459944a023166e,sha256-utf8-lines-lf-v1
urn:uuid:682a8272-764a-590e-8d22-414896b6d84b,target,id-ID,repo/source/chapter2.tex,603,603,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,1d39d9d2d0f148e106a7441df43fd14e25870b216c6c6874389a8f457e92321d,sha256-utf8-lines-lf-v1
urn:uuid:7a685e33-db49-50b9-bae7-2309e0cca5f0,qa-witness,,qa/UNIT_012_ADMISSION_20260823.md,,,2853,4b5b574a59e8944b6a718ae7d0b6023d8556662d3f319c86b9ed962649df301d,,
urn:uuid:7d2ca635-7c1f-550b-bbe7-2b841207829f,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,567,567,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,e2939985cd0887f564f48e21517607ee316f729959af3a7fae633ecdad69ae3e,sha256-utf8-lines-lf-v1
urn:uuid:7d2ca635-7c1f-550b-bbe7-2b841207829f,target,id-ID,repo/source/chapter2.tex,567,567,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,9168a21254acf22db58db56388117aefc5e29df120347f35d4f727866ece34ec,sha256-utf8-lines-lf-v1
urn:uuid:9c3b54a8-cd36-5bad-9548-c532836b0025,source,zh-Hans,authority/source/AlJabr-1-c4f7a01f68f5f407906b4b970640cddbbad85f6b/chapter2.tex,657,660,139983,56496e557f6f05efdb825be000f688a904b1d1f44a752ebecac517d0a4ba1840,83361d46f65d9b8457d7bdcb14d4672e5284db39316109ea228045a641968bd8,sha256-utf8-lines-lf-v1
urn:uuid:9c3b54a8-cd36-5bad-9548-c532836b0025,target,id-ID,repo/source/chapter2.tex,657,660,155822,bcf19c8d261947fa619c0257351c29217f401bc1c9453ad91286ff96c1bd69a5,83361d46f65d9b8457d7bdcb14d4672e5284db39316109ea228045a641968bd8,sha256-utf8-lines-lf-v1
